item-name,item-body,int-label,label
Copland_AC.v,Object,": Set :=
| asp_obj:  Plc -> ASP_ID -> Object
| plc_obj:  Plc -> Object
| targ_obj: Plc -> TARG_ID -> Object.

(* 
    asp:
        READ - view all incoming evidence to specific ASP
        WRITE - corrupt specific asp (including tampering w/ evidence)
        EXECUTE - invoke specific ASP via CVM

    plc:
        READ - view everything at a place
        WRITE - corrupt everything at a place
        EXECUTE - invoke an AM (all of its ASPs)

    targ:
        READ - view a specific target (e.g. eavesdrop, measure, ...)
        WRITE - corrupt specific target
        EXECUTE - ?
   
 *)",5,Inductive
Copland_AC.v,AC_Policy,: Permission -> Object -> Prop.,3,Definition
OptMonad_Coq.v,Opt,(A : Type) : Type := (option A). (** S % type. *),3,Definition
OptMonad_Coq.v,ret,{A : Type} (a : A) : Opt A := (Some a).,3,Definition
OptMonad_Coq.v,bind,"{A B : Type} (m : Opt A) (f : A -> Opt B) : Opt B :=
    match m with
    | Some v => f v
    | _ => None
    end.",3,Definition
OptMonad_Coq.v,failm,{A : Type} : Opt A := None.,3,Definition
OptMonad_Coq.v,runOpt,"{A} (h : Opt A) (default: A) : A :=
  match h with
    Some v => v
  | _ => default
  end.",3,Definition
OptMonad_Coq.v,nop,":= ret tt.

Notation ""a >> b"" := (bind a (fun _ => b)) (at level 50).

Notation ""x <- c1 ;; c2"" := (@bind _ _ c1 (fun x => c2))
                              (at level 100, c1 at next level, right associativity).

Notation ""e1 ;; e2"" := (_ <- e1 ;; e2)
                         (at level 100, right associativity).


Notation ""' pat <- c1 ;; c2"" :=
    (@bind _ _ c1 (fun x => match x with pat => c2 end))
    (at level 100, pat pattern, c1 at next level, right associativity).",3,Definition
OptMonad_Coq.v,when,"{A} (b : bool) (m : Opt A) : Opt unit :=
  if b then m ;; ret tt else nop.",3,Definition
OptMonad_Coq.v,fromSome,"{A:Type} (default:A) (opt:Opt A): A :=
  match opt with
  | Some x => x
  | _ => default
  end.",3,Definition
AM_St.v,empty_amst,":=
  mkAM_St map_empty 0 (* [] [] *) .",3,Definition
Event_system.v,ES_Range,": Set := nat * nat.

  (** An event system. *)

  Inductive EvSys: Set :=
  | leaf: ES_Range -> A -> EvSys
  | before: ES_Range -> EvSys -> EvSys -> EvSys
  | merge: ES_Range -> EvSys -> EvSys -> EvSys.

  Definition es_range es :=
    match es with
    | leaf r _ => r
    | before r _ _ => r
    | merge r _ _ => r
    end.

  Fixpoint es_size es :=
    match es with
    | leaf _ _=> 1
    | before _ x y => es_size x + es_size y
    | merge _ x y => es_size x + es_size y
    end.

  (** Definition of a well-structured event system. *)

  Inductive well_structured: EvSys -> Prop :=
  | ws_leaf_event:
      forall r e,
        snd r = S (fst r) ->
        ev e = fst r ->
        well_structured (leaf r e)
  | ws_before:
      forall r x y,
        well_structured x ->
        well_structured y ->
        r = (fst (es_range x), snd (es_range y)) ->
        snd (es_range x) = fst (es_range y) ->
        well_structured (before r x y)
  | ws_merge:
      forall r x y,
        well_structured x ->
        well_structured y ->
        r = (fst (es_range x), snd (es_range y)) ->
        snd (es_range x) = fst (es_range y) ->
        well_structured (merge r x y).
  #[local] Hint Constructors well_structured : core.

  Lemma well_structured_range:
    forall es,
      well_structured es ->
      snd (es_range es) = fst (es_range es) + es_size es.
  Proof.
    induction es; simpl; intros; inv H; simpl; auto;
      try rewrite Nat.add_1_r; auto;
        apply IHes1 in H3;
        apply IHes2 in H4;
        lia.
  Qed.

  (** Is an event in an event system? *)

  Inductive ev_in: A -> EvSys -> Prop :=
  | ein_leaf: forall r ev,
      ev_in ev (leaf r ev)
  | ein_beforel: forall r ev es1 es2,
      ev_in ev es1 -> ev_in ev (before r es1 es2)
  | ein_beforer: forall r ev es1 es2,
      ev_in ev es2 -> ev_in ev (before r es1 es2)
  | ein_mergel: forall r ev es1 es2,
      ev_in ev es1 -> ev_in ev (merge r es1 es2)
  | ein_merger: forall r ev es1 es2,
      ev_in ev es2 -> ev_in ev (merge r es1 es2).
  #[local] Hint Constructors ev_in : core.

  (** Is one event before another? *)

  Inductive prec: EvSys -> A -> A -> Prop :=
  | prseq: forall r x y e f,
      ev_in e x -> ev_in f y ->
      prec (before r x y) e f
  | prseql: forall r x y e f,
      prec x e f ->
      prec (before r x y) e f
  | prseqr: forall r x y e f,
      prec y e f ->
      prec (before r x y) e f
  | prparl: forall r x y e f,
      prec x e f ->
      prec (merge r x y) e f
  | prparr: forall r x y e f,
      prec y e f ->
      prec (merge r x y) e f.
  #[local] Hint Constructors prec : core.

  Lemma prec_in_left:
    forall es ev1 ev2,
      prec es ev1 ev2 -> ev_in ev1 es.
  Proof.
    intros; induction H; auto.
  Qed.

  Lemma prec_in_right:
    forall es ev1 ev2,
      prec es ev1 ev2 -> ev_in ev2 es.
  Proof.
    intros; induction H; auto.
  Qed.

  Lemma ws_evsys_range:
    forall es e,
      well_structured es ->
      ev_in e es ->
      fst (es_range es) <= ev e < snd (es_range es).
  Proof.
    intros.
    pose proof H as G.
    apply well_structured_range in G.
    rewrite G.
    clear G.
    revert H0.
    revert e.
    induction es; intros; simpl in *; inv H; simpl in *;
      inv H0; simpl; try lia.
    - apply IHes1 in H2; auto; lia.
    - apply IHes2 in H2; auto.
      apply well_structured_range in H4.
      lia.
    - apply IHes1 in H2; auto; lia.
    - apply IHes2 in H2; auto.
      apply well_structured_range in H4.
      lia.
  Qed.

  Lemma es_injective_events:
    forall es ev0 ev1,
      well_structured es ->
      ev_in ev0 es -> ev_in ev1 es ->
      ev ev0 = ev ev1 ->
      ev0 = ev1.
  Proof.
    intros.
    revert H2.
    revert H1.
    revert H0.
    revert ev1.
    revert ev0.
    induction H; intros; simpl in *.
    - inv H1; inv H2; auto.
    - inv H3; inv H4.
      + eapply IHwell_structured1 in H8; eauto.
      + apply ws_evsys_range in H8; auto.
        apply ws_evsys_range in H6; auto.
        lia.
      + apply ws_evsys_range in H8; auto.
        apply ws_evsys_range in H6; auto.
        lia.
      + eapply IHwell_structured2 in H8; eauto.
    - inv H3; inv H4.
      + eapply IHwell_structured1 in H8; eauto.
      + apply ws_evsys_range in H8; auto.
        apply ws_evsys_range in H6; auto.
        lia.
      + apply ws_evsys_range in H8; auto.
        apply ws_evsys_range in H6; auto.
        lia.
      + eapply IHwell_structured2 in H8; eauto.
  Qed.

  (** A relation is a strict partial order iff it is irreflexive and
    transitive. *)

  Lemma evsys_irreflexive:
    forall es ev,
      well_structured es ->
      ~prec es ev ev.
  Proof.
    induction es; intros; intro; inv H; inv H0.
    - apply ws_evsys_range in H8; auto.
      apply ws_evsys_range in H9; auto.
      lia.
    - apply IHes1 in H8; auto.
    - apply IHes2 in H8; auto.
    - apply IHes1 in H8; auto.
    - apply IHes2 in H8; auto.
  Qed.

  Lemma evsys_transitive:
    forall es ev0 ev1 ev2,
      well_structured es ->
      prec es ev0 ev1 ->
      prec es ev1 ev2 ->
      prec es ev0 ev2.
  Proof.
    induction es; intros.
    - inv H0.
    - inv H.
      inv H0.
      + inv H1.
        * apply ws_evsys_range in H10; auto.
        * apply prec_in_left in H7.
          apply ws_evsys_range in H7; auto.
          apply ws_evsys_range in H10; auto.
          lia.
        * apply prec_in_right in H7; auto.
      + assert (G: ev_in ev0 es1). apply prec_in_left in H9; auto.
        assert (F: ev_in ev1 es1). apply prec_in_right in H9; auto.
        inv H1; auto.
        eapply IHes1 in H7; eauto.
        apply prseq; auto.
        apply prec_in_right in H7; auto.
      + assert (G: ev_in ev0 es2). apply prec_in_left in H9; auto.
        assert (F: ev_in ev1 es2). apply prec_in_right in H9; auto.
        inv H1.
        * apply ws_evsys_range in H7; auto.
          apply ws_evsys_range in F; auto.
          lia.
        * apply prec_in_left in H7.
          apply ws_evsys_range in H7; auto.
          apply ws_evsys_range in F; auto.
          lia.
        * eapply IHes2 in H7; eauto.
    - inv H.
      inv H0.
      + inv H1.
        * eapply IHes1 in H7; eauto.
        * apply prec_in_left in H7.
          apply prec_in_right in H9.
          apply ws_evsys_range in H9; auto.
          apply ws_evsys_range in H7; auto.
          lia.
      + assert (G: ev_in ev0 es2). apply prec_in_left in H9; auto.
        assert (F: ev_in ev1 es2). apply prec_in_right in H9; auto.
        inv H1.
        * apply prec_in_left in H7.
          apply ws_evsys_range in H7; auto.
          apply ws_evsys_range in F; auto.
          lia.
        * eapply IHes2 in H7; eauto.
  Qed.

  (** Merge is associative. *)

  Definition same_rel es0 es1 :=
    forall ev0 ev1,
      prec es0 ev0 ev1 <-> prec es1 ev0 ev1.

  Lemma ws_merge1:
    forall r s x y z,
      well_structured (merge r x y) ->
      well_structured (merge s y z) ->
      well_structured (merge (fst r, snd s) x (merge s y z)).
  Proof.
    intros r s x y z Hr Hs.
    inv Hr; inv Hs.
    constructor; simpl; auto; lia.
  Qed.

  Lemma ws_merge2:
    forall r s x y z,
      well_structured (merge r x y) ->
      well_structured (merge s y z) ->
      well_structured (merge (fst r, snd s) (merge r x y) z).
  Proof.
    intros r s x y z Hr Hs.
    inv Hr; inv Hs.
    constructor; simpl; auto; lia.
  Qed.

  Lemma merge_associative:
    forall r s x y z,
      same_rel (merge (fst r, snd s) x (merge s y z))
               (merge (fst r, snd s) (merge r x y) z).
  Proof.
    intros r s x y z.
    split; intro; inv H.
    - apply prparl; apply prparl; auto.
    - inv H5.
      + apply prparl; apply prparr; auto.
      + apply prparr; auto.
    - inv H5.
      + apply prparl; auto.
      + apply prparr; apply prparl; auto.
    - apply prparr; apply prparr; auto.
  Qed.

  (** A more useful form of merge associative *)

  Lemma merge_associative_pairs:
    forall r0 r1 s0 s1 x y z,
      same_rel (merge (r0, s1) x (merge (s0, s1) y z))
               (merge (r0, s1) (merge (r0, r1) x y) z).
  Proof.
    intros.
    apply merge_associative with (s:=(s0, s1))(r:=(r0,r1)).
  Qed.

  (** Before is associative. *)

  Lemma ws_before1:
    forall r s x y z,
      well_structured (before r x y) ->
      well_structured (before s y z) ->
      well_structured (before (fst r, snd s) x (before s y z)).
  Proof.
    intros r s x y z Hr Hs.
    inv Hr; inv Hs.
    constructor; simpl; auto; lia.
  Qed.

  Lemma ws_before2:
    forall r s x y z,
      well_structured (before r x y) ->
      well_structured (before s y z) ->
      well_structured (before (fst r, snd s) (before r x y) z).
  Proof.
    intros r s x y z Hr Hs.
    inv Hr; inv Hs.
    constructor; simpl; auto; lia.
  Qed.

  Lemma before_associative:
    forall r s x y z,
      same_rel (before (fst r, snd s) x (before s y z))
               (before (fst r, snd s) (before r x y) z).
  Proof.
    intros r s x y z.
    split; intro; inv H.
    - inv H6.
      + apply prseql; auto.
      + apply prseq; auto.
    - apply prseql; apply prseql; auto.
    - inv H5.
      + apply prseq; auto.
      + apply prseql; apply prseqr; auto.
      + apply prseqr; auto.
    - inv H5.
      + apply prseq; auto.
      + apply prseqr; apply prseq; auto.
    - inv H5.
      + apply prseq; auto.
      + apply prseql; auto.
      + apply prseqr; apply prseql; auto.
    - apply prseqr; apply prseqr; auto.
  Qed.

  Lemma before_associative_pairs:
    forall r0 r1 s0 s1 x y z,
      same_rel (before (r0, s1) x (before (s0, s1) y z))
               (before (r0, s1) (before (r0, r1) x y) z).
  Proof.
    intros.
    apply before_associative with (s:=(s0, s1))(r:=(r0,r1)).
  Qed.

  Lemma ws_exists:
    forall es,
      well_structured es ->
      exists e, ev_in e es.
  Proof.
    intros.
    induction H.
    - exists e; auto.
    - destruct IHwell_structured1 as [e].
      exists e; auto.
    - destruct IHwell_structured1 as [e].
      exists e; auto.
  Qed.

  (** Maximal events. *)

  Definition supreme es e :=
    ev_in e es /\ forall e0, ev_in e0 es -> ~prec es e e0.

  (** Inductive version of a maximal event. *)

  Inductive sup: EvSys -> A -> Prop :=
  | sup_leaf: forall r e, sup (leaf r e) e
  | sup_before:
      forall r es0 es1 e,
        sup es1 e -> sup (before r es0 es1) e
  | sup_mergel:
      forall r es0 es1 e,
        sup es0 e -> sup (merge r es0 es1) e
  | sup_merger:
      forall r es0 es1 e,
        sup es1 e -> sup (merge r es0 es1) e.
  #[local] Hint Constructors sup : core.

  Lemma before_sup:
    forall r x y e,
      sup (before r x y) e -> sup y e.
  Proof.
    intros.
    inv H.
    auto.
  Qed.

  Lemma sup_supreme:
    forall es e,
      well_structured es ->
      sup es e <-> supreme es e.
  Proof.
    unfold supreme; split.
    -  induction H; intros.
       + inv H1.
         split; auto; intros; intro.
         inv H1.
         apply evsys_irreflexive in H2; auto.
       + inv H1.
         inv H3.
         apply IHwell_structured2 in H7.
         destruct H7.
         split.
         * apply ein_beforer; auto.
         * intros; intro.
           inv H4; inv H5.
           -- apply ws_evsys_range in H8; auto.
              apply ws_evsys_range in H12; auto.
              lia.
           -- apply prec_in_left in H11.
              apply ws_evsys_range in H1; auto.
              apply ws_evsys_range in H11; auto.
              lia.
           -- apply prec_in_right in H11.
              apply ws_evsys_range in H8; auto.
              apply ws_evsys_range in H11; auto.
              lia.
           -- apply ws_evsys_range in H1; auto.
              apply ws_evsys_range in H11; auto.
              lia.
           -- apply prec_in_left in H11.
              apply ws_evsys_range in H1; auto.
              apply ws_evsys_range in H11; auto.
              lia.
           -- apply H3 in H8.
              tauto.
       + inv H3.
         * apply IHwell_structured1 in H8.
           destruct H8.
           split.
           -- apply ein_mergel; auto.
           -- intros; intro.
              inv H4; inv H5.
              ++ apply H3 in H8; tauto.
              ++ apply prec_in_right in H11.
                 apply ws_evsys_range in H8; auto.
                 apply ws_evsys_range in H11; auto.
                 lia.
              ++ apply prec_in_right in H11.
                 apply ws_evsys_range in H8; auto.
                 apply ws_evsys_range in H11; auto.
                 lia.
              ++ apply prec_in_left in H11.
                 apply ws_evsys_range in H1; auto.
                 apply ws_evsys_range in H11; auto.
                 lia.
         * apply IHwell_structured2 in H8.
           destruct H8.
           split.
           -- apply ein_merger; auto.
           -- intros; intro.
              inv H4; inv H5.
              ++ apply prec_in_left in H11.
                 apply ws_evsys_range in H1; auto.
                 apply ws_evsys_range in H11; auto.
                 lia.
              ++ apply prec_in_right in H11.
                 apply ws_evsys_range in H8; auto.
                 apply ws_evsys_range in H11; auto.
                 lia.
              ++ apply prec_in_left in H11.
                 apply ws_evsys_range in H1; auto.
                 apply ws_evsys_range in H11; auto.
                 lia.
              ++ apply H3 in H8; tauto.
    - intro; destruct H0.
      induction H; intros.
      + inv H0; auto.
      + inv H0; auto.
        * cut (exists f, ev_in f y).
          -- intros.
             destruct H0 as [f].
             specialize H1 with f.
             assert (G: prec
                          (before (fst (es_range x), snd (es_range y)) x y) e f).
             apply prseq; auto.
             apply H1 in G; auto.
             tauto.
          -- apply ws_exists; auto.
        * apply sup_before.
          apply IHwell_structured2; auto.
          intros; intro.
          assert (G: prec
                       (before (fst (es_range x), snd (es_range y)) x y) e e0).
          apply prseqr; auto.
          apply H1 in G; auto; tauto.
      + inv H0.
        * apply IHwell_structured1 in H7; auto.
          intros; intro.
          assert (G: prec
                       (merge (fst (es_range x), snd (es_range y)) x y) e e0).
          apply prparl; auto.
          apply H1 in G; auto; tauto.
        * apply IHwell_structured2 in H7; auto.
          intros; intro.
          assert (G: prec
                       (merge (fst (es_range x), snd (es_range y)) x y) e e0).
          apply prparr; auto.
          apply H1 in G; auto; tauto.
  Qed.

  (** Return one of possibly many maximal events. *)

  Fixpoint max es :=
    match es with
    | leaf _ e => e
    | before _ x y => max y
    | merge _ x y => max y
    end.

  Lemma supreme_max:
    forall es,
      well_structured es ->
      supreme es (max es).
  Proof.
    intros.
    apply sup_supreme; auto.
    induction H; auto.
  Qed.

End Event_system.

#[export] Hint Constructors well_structured ev_in prec sup : core.

Unset Implicit Arguments.",3,Definition
ConcreteEvidence.v,EvidenceC,": Set :=
| mtc: EvidenceC
| nnc: N_ID -> BS -> EvidenceC
| ggc: Plc -> ASP_PARAMS -> BS -> EvidenceC -> EvidenceC
| hhc: Plc -> ASP_PARAMS -> BS -> Evidence -> EvidenceC
| eec: Plc -> ASP_PARAMS -> BS -> Evidence -> EvidenceC
| kkc: Plc -> ASP_PARAMS -> Evidence -> EvidenceC
| kpc: Plc -> ASP_PARAMS -> EvidenceC -> EvidenceC
| ssc: EvidenceC -> EvidenceC -> EvidenceC.

(** The Evidence Type associated with a Typed Concrete Evidence value *)",5,Inductive
ConcreteEvidence.v,et_fun,"(ec:EvidenceC) : Evidence :=
  match ec with
  | mtc => mt
  | ggc p params _ ec' => uu p EXTD params (et_fun ec')
  | hhc p params _ et => uu p COMP params et
  | eec p params _ et => uu p ENCR params et (* (et_fun ec') *)
  | kkc p params et' => uu p KILL params et'
  | kpc p params ec' => uu p KEEP params (et_fun ec')
                       
  | nnc ni _ => nn ni
  | ssc ec1 ec2 => ss (et_fun ec1) (et_fun ec2)
  end.

(** Evidence Type subterm relation *)",4,Fixpoint
ConcreteEvidence.v,EvSubT,": Evidence -> Evidence -> Prop :=
| evsub_reflT : forall e : Evidence, EvSubT e e
| uuSubT: forall e e' p fwd ps,
    EvSubT e e' -> 
    EvSubT e (uu p fwd ps e')
| ssSublT: forall e e' e'',
    EvSubT e e' ->
    EvSubT e (ss e' e'')
| ssSubrT: forall e e' e'',
    EvSubT e e'' ->
    EvSubT e (ss e' e'').
#[export] Hint Constructors EvSubT : core.

Ltac evSubTFacts :=
  match goal with
  | [H: EvSubT (?C _) _ |- _] => invc H
  | [H: EvSubT _ (?C _) |- _] => invc H
  | [H: EvSubT _ mt |- _] => invc H
  | [H: EvSubT mt _ |- _] => invc H
  end.

Lemma evsubT_transitive: forall e e' e'',
    EvSubT e e' ->
    EvSubT e' e'' ->
    EvSubT e e''.
Proof.
  intros.
  generalizeEverythingElse e''.
  induction e''; intros;
    try evSubTFacts;
       eauto.
Defined.

(** Typed Concrete Evidence subterm relation *)",5,Inductive
